,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
2900,d73e88e9-e12e-41de-b11b-8c3464b6aff8,631819,Landing Page Submission,Google,No,No,1,5.0,96,1.67,Email Opened,India,Finance Management,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,No,Yes,Modified
2952,f6c0c94a-fb89-4062-a456-bb9ccc8da829,631460,Landing Page Submission,Google,No,No,1,5.0,653,2.5,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,SMS Sent
2956,1bbb3cbb-eefc-42eb-90f2-55ea01cc7492,631431,Landing Page Submission,Google,No,No,1,4.0,1344,4.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
3005,f55cd96c-c46b-4284-89a0-f8fd2ac21225,631013,Landing Page Submission,Google,No,No,1,3.0,1497,3.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
3051,a5a131be-12a8-4c25-8298-b628b7f1a731,630695,Landing Page Submission,Google,No,No,1,6.0,1234,2.0,Email Opened,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
3072,249c9f89-6d3f-417c-b46a-fd93b0ec1cd4,630510,Landing Page Submission,Direct Traffic,No,No,1,4.0,390,4.0,Email Opened,India,"Banking, Investment And Insurance",Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Dual Specialization Student,Other Metro Cities,No,No,Email Opened
3093,30ac5953-6b6c-4097-9516-aa1c94fa6140,630222,Landing Page Submission,Direct Traffic,No,No,0,23.0,351,3.83,Page Visited on Website,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,Yes,Page Visited on Website
3109,c232bcdc-46f9-4ee2-8bd3-b2bfb62e4d0b,630042,Landing Page Submission,Direct Traffic,No,No,0,5.0,2,2.5,Form Submitted on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,Yes,Modified
3136,32942885-66e9-4ae9-bad0-b7f1e619999a,629871,Landing Page Submission,Google,No,No,0,5.0,375,5.0,SMS Sent,India,Finance Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
3153,30b673ea-4980-47e2-bd5b-750ec2be468b,629725,Landing Page Submission,Google,No,No,0,5.0,1403,2.5,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Other Cities of Maharashtra,No,No,Email Opened
3154,56154cd7-5218-4f01-bbbd-862fd10ab3c3,629721,Landing Page Submission,Google,No,No,0,5.0,97,2.5,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
3175,f9898c5d-ea4d-4d40-a897-0e6a3873653a,629593,Landing Page Submission,Google,No,No,1,12.0,1248,2.4,SMS Sent,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,Yes,Modified
3179,72fb7233-ba78-4a3d-8c83-07ac1725cc6a,629557,Landing Page Submission,Google,No,No,1,4.0,391,4.0,Email Opened,United Kingdom,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
3193,7e016eb1-f63e-43be-9b09-b49c1136f602,629449,Landing Page Submission,Google,No,No,1,10.0,216,1.25,Email Opened,India,Travel and Tourism,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
3213,ccc918d7-82dc-4ff1-9abe-def3fff3f0f7,629342,Landing Page Submission,Organic Search,No,No,0,3.0,300,3.0,SMS Sent,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
3227,11367a58-9530-45c2-9f36-e4f0f06c34c3,629242,Landing Page Submission,Direct Traffic,No,No,1,4.0,419,1.33,Email Opened,India,IT Projects Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,Email Opened
3229,2e49d7ab-0a68-4d6b-8d60-2e67d723a311,629227,Landing Page Submission,Google,No,No,0,1.0,163,1.0,Converted to Lead,India,Business Administration,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Modified
3237,9a6d9a24-2044-4628-8f48-c5c7ea0c6c92,629053,Landing Page Submission,Google,No,No,1,5.0,1653,5.0,Email Opened,India,Travel and Tourism,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
3254,c9ec2096-df69-4b52-9cd5-68bc85a06ab7,628845,Landing Page Submission,Google,No,No,0,4.0,240,2.0,Converted to Lead,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
3270,2087d763-37ab-48c4-942c-0b672231c20d,628658,Landing Page Submission,Google,No,No,1,2.0,1238,2.0,SMS Sent,India,Supply Chain Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
3330,fcdcf95e-66f8-4fc3-b1aa-9e53450d0615,628208,Landing Page Submission,Google,No,No,1,11.0,964,2.75,SMS Sent,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
3332,b7083336-e077-4a94-ad88-757abad59aa3,628164,Landing Page Submission,Google,No,No,1,6.0,1168,2.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
3401,2ea33ff8-c1d5-4c12-a6df-bef7c12ffc67,627593,Landing Page Submission,Google,No,No,1,6.0,994,1.5,Email Opened,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
3434,d1795117-32bb-4936-aef6-d30b402d778b,627384,Landing Page Submission,Google,No,No,0,3.0,74,3.0,Page Visited on Website,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Modified
3443,bfc384f0-3aed-4ee5-b9e0-d530a8b96d80,627328,Landing Page Submission,Direct Traffic,No,No,0,3.0,69,1.5,SMS Sent,India,Supply Chain Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
3446,a05293a3-52b0-4675-81f0-74abb5faa0d1,627307,Landing Page Submission,Google,No,No,1,2.0,950,2.0,Page Visited on Website,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
3459,eb122b37-ed68-4cdf-b580-ca8a61ad2d0b,627214,Landing Page Submission,Direct Traffic,No,No,1,6.0,23,6.0,Page Visited on Website,United Arab Emirates,Marketing Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Page Visited on Website
3518,b39f4976-0479-49c7-a452-0dbc2aa45064,626815,Landing Page Submission,Google,No,No,0,5.0,2090,5.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
3535,4b33fb64-2966-496b-a0e7-9c32b96e929a,626658,API,Olark Chat,No,No,1,4.0,1021,2.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
3566,7cad5b76-6c6c-4025-8c11-90d508e2c6c2,626333,Landing Page Submission,Google,No,No,0,6.0,1904,6.0,Email Opened,India,International Business,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Email Opened
3608,901846e9-c7ba-4f95-a1d4-3cc4fa353177,625894,Landing Page Submission,Google,No,No,1,5.0,1303,5.0,Email Opened,India,Travel and Tourism,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
3645,62641038-e60d-4444-8053-34a0686e8bdd,625433,Landing Page Submission,Google,No,No,1,4.0,882,4.0,SMS Sent,India,Hospitality Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
3685,f02f881f-cae3-43c7-bdd8-a7811c9a22c8,624817,Landing Page Submission,Direct Traffic,No,No,1,2.0,1166,2.0,SMS Sent,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
3733,0dfc7eb5-0615-44b5-8520-c4b3a9601fb0,624357,Landing Page Submission,Google,Yes,No,0,3.0,383,3.0,Unsubscribed,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Unsubscribed
3739,6ae8a31b-f96f-40d5-bbaf-49641cad451f,624343,Landing Page Submission,Google,No,No,1,5.0,2037,2.5,Email Opened,India,Finance Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
3759,a1bad440-7701-490e-adca-e8d3d9028c3a,624147,Landing Page Submission,Google,No,No,1,3.0,963,3.0,Email Opened,India,Supply Chain Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
3852,782442c5-5572-49b3-96d4-3975369c1b54,623161,Landing Page Submission,Google,No,No,1,5.0,987,2.5,Email Opened,India,Human Resource Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Metro Cities,No,No,Email Opened
3903,a54e20b5-b769-4c3e-84b5-596188559312,622608,Landing Page Submission,Google,No,No,1,4.0,1266,4.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
3917,24754311-8e34-457a-88ab-e34773ebf8e6,622505,Landing Page Submission,Google,No,No,1,3.0,1399,3.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
3923,1b3c8734-32cf-439e-9df9-9e1ed062a48d,622460,Landing Page Submission,Google,No,No,1,6.0,1069,6.0,SMS Sent,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
3925,33e0204e-20b7-4800-a6de-f107c3511556,622423,Landing Page Submission,Google,No,No,0,8.0,221,4.0,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
3965,a3cc5385-b7aa-4224-8eda-f8f26b688cf3,622090,Landing Page Submission,Google,No,No,0,14.0,1602,7.0,Page Visited on Website,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Mumbai,No,No,Modified
3997,00fd9191-ba69-48be-8f21-e50b89802b0b,621671,Landing Page Submission,Direct Traffic,No,No,0,3.0,1231,3.0,Page Visited on Website,India,Finance Management,Online Search,Other,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Other Leads,Mumbai,No,No,Modified
4030,00725a43-5532-487e-b66a-c404d513732f,621327,Landing Page Submission,Google,No,No,1,4.0,1337,4.0,Had a Phone Conversation,India,Travel and Tourism,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Had a Phone Conversation
4047,053e7a1c-098e-4389-b2a5-8e5d9ebcc1b1,621213,Landing Page Submission,Google,No,No,1,2.0,1122,2.0,SMS Sent,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
4069,eb9168c0-b629-472b-8a09-e549b21b876d,620979,Landing Page Submission,Google,No,No,1,7.0,875,1.75,Email Link Clicked,India,Retail Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Email Link Clicked
4087,6b03876c-bed0-43ca-b3f7-d19ef4386827,620705,Landing Page Submission,Google,No,No,1,7.0,964,3.5,Email Opened,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
4088,773dde5e-4752-4fab-b608-1e1f9b31b199,620704,Landing Page Submission,Google,No,No,1,5.0,1205,5.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4106,3c3eba72-cda4-4519-8d79-ee33f99d66b0,620588,Landing Page Submission,Google,No,No,0,2.0,461,2.0,Form Submitted on Website,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
4116,99b792b0-3b27-43b9-8625-e885cf8b3051,620501,Landing Page Submission,Google,No,No,1,3.0,924,3.0,Email Opened,India,Marketing Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Email Opened
4137,24368db5-78be-45d5-ae33-e055b5b47a13,620278,Landing Page Submission,Google,No,No,1,6.0,1049,3.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4151,ea0fb964-f056-42a4-8441-252b3ed4851a,620179,Landing Page Submission,Google,No,No,1,6.0,1212,3.0,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,Yes,SMS Sent
4157,df6ec20b-5e9b-4cfd-8cf6-d82925e4eb8e,620137,Landing Page Submission,Google,Yes,No,1,4.0,1674,4.0,Unsubscribed,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Unsubscribed
4158,6841f123-2338-43a6-85dc-7c35dacdf51e,620115,Landing Page Submission,Google,No,No,1,4.0,158,4.0,Email Opened,India,International Business,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4168,34b3874e-6794-4849-8e2a-a8daf556d455,619902,Landing Page Submission,Google,No,No,1,3.0,449,3.0,SMS Sent,India,Operations Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
4187,9343e959-299b-472a-9bbd-0d62ded4ef57,619649,Landing Page Submission,Google,No,No,1,4.0,765,4.0,SMS Sent,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
4208,459860d2-d235-4ca6-9ff1-700dd01f33cd,619503,Landing Page Submission,Google,No,No,1,3.0,1160,3.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
4253,aaaaf89c-20bc-4974-8d0d-e31f1dc4f562,619144,Landing Page Submission,Google,No,No,1,5.0,1473,5.0,SMS Sent,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,SMS Sent
4291,1930406c-7458-45b0-8a22-904cac7f37a3,618747,Landing Page Submission,Google,No,No,1,5.0,1125,5.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4292,9893aa83-61e8-4aa5-85dd-cd3d959bce3d,618729,API,Google,No,No,1,2.0,1240,1.0,Form Submitted on Website,India,IT Projects Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Modified
4338,48a8fc12-7621-40b3-ad49-8a963b21a545,618206,Landing Page Submission,Organic Search,No,No,1,5.0,1042,1.67,Email Opened,India,Media and Advertising,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
4358,8ba2883b-8514-4d5d-b4a3-87923443e9c7,617934,Landing Page Submission,Google,No,No,1,8.0,190,4.0,SMS Sent,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,No,SMS Sent
4379,634ae764-7690-4974-a2be-fdfa9ea731e8,617761,Landing Page Submission,Direct Traffic,No,No,1,7.0,1029,7.0,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Cities,No,No,Email Opened
4415,e23ac463-c848-4381-96fa-1f0f7f404500,617400,Landing Page Submission,Google,No,No,1,4.0,1175,4.0,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
4489,f304391a-7e94-4425-9c0e-109f2a50e9a1,616598,Landing Page Submission,Google,No,No,1,4.0,952,4.0,Email Opened,India,Operations Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
4504,6f8d7371-95ce-474d-a2c2-17c34a6bdba7,616521,Landing Page Submission,Google,No,No,1,5.0,1063,2.5,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
4523,828b5f00-22a4-4fa9-9f69-182bb24d5685,616325,Landing Page Submission,Google,No,No,1,2.0,1495,2.0,SMS Sent,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
4526,d0ad78f6-0f87-4b6c-8024-4925296ff22c,616247,Landing Page Submission,Direct Traffic,No,No,0,6.0,142,3.0,Email Opened,India,"Banking, Investment And Insurance",Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
4530,ccb38eed-1f9f-4c9a-8032-65fa0944f04d,616210,Landing Page Submission,Google,No,No,0,4.0,48,4.0,Email Opened,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Email Opened
4532,d185d4d5-1427-4035-94ff-760c7ef8489f,616185,Landing Page Submission,Google,No,No,1,3.0,1637,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4534,8a63af53-ff02-47b7-93d7-e02f11759438,616173,Landing Page Submission,Google,No,No,0,4.0,952,4.0,Email Opened,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Low in Relevance,No,No,Other Leads,Other Metro Cities,No,No,Email Opened
4543,2fb6e6ad-8ce7-4e79-8e75-0eb40b40f025,616102,Landing Page Submission,Google,No,No,1,4.0,429,4.0,SMS Sent,India,Supply Chain Management,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
4549,e484a09e-ced1-432b-92e7-8160d2e9dafa,616059,Landing Page Submission,Google,No,No,1,6.0,1027,3.0,Page Visited on Website,India,Marketing Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Page Visited on Website
4551,bfb9e357-0b1e-4602-a282-21d1e38fa432,616049,Landing Page Submission,Google,No,No,1,5.0,1220,2.5,SMS Sent,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
4556,d4a92caa-d6a5-4895-9495-e57cd9c6e1e8,616023,Landing Page Submission,Google,No,No,1,3.0,1270,3.0,SMS Sent,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
4576,0e8a403b-375e-4ff2-a4cb-e07c94f07ecf,615883,Landing Page Submission,Google,No,No,0,3.0,201,3.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Modified
4614,58ead0da-0899-4756-b9b6-654bd291cb0c,615507,Landing Page Submission,Google,No,No,1,3.0,872,3.0,Unreachable,India,Healthcare Management,SMS,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Unreachable
4644,daa344c1-0d49-4c90-9234-e01a341b0a9a,615194,Landing Page Submission,Direct Traffic,No,No,0,5.0,138,5.0,Email Opened,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
4648,cfffd382-ae94-46cf-9c5a-b60c91129558,615125,API,Google,No,No,1,5.0,567,2.5,Email Opened,India,International Business,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
4650,50ba956e-ee1b-4278-91d9-f5c9be6fe115,615108,Landing Page Submission,Google,No,No,0,6.0,74,3.0,Email Opened,India,"Banking, Investment And Insurance",Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
4671,e8d830e1-5e6a-4d69-818e-ed73cc47c82f,614924,Landing Page Submission,Google,No,No,1,3.0,170,3.0,SMS Sent,India,Supply Chain Management,Social Media,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
4706,3b03e203-4783-437d-836c-a9f2c3a5564b,614665,Landing Page Submission,Google,No,No,0,3.0,165,3.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
4717,eea48a47-bb1b-48a0-9cc9-2e6df5f097b4,614573,Landing Page Submission,Google,No,No,1,3.0,1590,3.0,SMS Sent,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
4724,cb7c271c-45c6-4fdd-a5a7-961842bb2011,614554,Landing Page Submission,Google,No,No,1,4.0,709,4.0,Page Visited on Website,India,Hospitality Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Mumbai,No,No,Modified
4726,3b988ade-2c5c-485c-9811-b9230885d832,614535,Landing Page Submission,Google,No,No,0,4.0,1708,4.0,Email Opened,India,Business Administration,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Thane & Outskirts,No,No,Email Opened
