Option,Explanation
--enable-web-bluetooth-scanning ,Enable Web Bluetooth Scanning This switch enables Web Bluetooth Scanning without any permission prompt for testing.
--enable-webgl-draft-extensions ,Enables WebGL extensions not yet approved by the community.
--enable-webgl-image-chromium ,Enables WebGL rendering into a scanout buffer for overlay support.
--enable-webgl-swap-chain ,Enables WebGL overlays for Windows.
--enable-webgl2-compute-context ,Enable WebGL2 Compute context.
--enable-webrtc-srtp-aes-gcm ,Enables negotiation of GCM cipher suites from RFC 7714 for SRTP in WebRTC. See https://tools.ietf.org/html/rfc7714 for further information.
--enable-webrtc-srtp-encrypted-headers ,Enables negotiation of encrypted header extensions from RFC 6904 for SRTP in WebRTC. See https://tools.ietf.org/html/rfc6904 for further information. TODO(https://crbug.com/954201): Remove this.
--enable-webrtc-stun-origin ,Enables Origin header in Stun messages for WebRTC.
--enable-webvr ,Enables interaction with virtual reality devices.
--enable-win7-webrtc-hw-h264-decoding[1] ,Enables H264 HW decode acceleration for WebRtc on Win 7.
--enable-zero-copy ,Enable rasterizer that writes directly to GPU memory associated with tiles.
--enabled ,No description
--encode-binary ,"Encode binary web test results (images, audio) using base64."
--enforce ,No description
--enforce-gl-minimums ,Enforce GL minimums.
--enforce-vulkan-protected-memory ,Forces to use protected memory for vulkan compositing.
--enforce-webrtc-ip-permission-check ,Enforce IP Permission check. TODO(guoweis): Remove this once the feature is not under finch and becomes the default.
--enforce_strict ,No description
--ensure-forced-color-profile ,"Crash the browser at startup if the display's color profile does not match the forced color profile. This is necessary on Mac because Chrome's pixel output is always subject to the color conversion performed by the operating system. On all other platforms, this is a no-op."
--enterprise-disable-arc ,Disables ARC for managed accounts.
--enterprise-disable-license-type-selection ,Disable license type selection by user during enrollment.
--enterprise-enable-forced-re-enrollment ,Whether to enable forced enterprise re-enrollment.
--enterprise-enable-initial-enrollment ,Whether to enable initial enterprise enrollment.
--enterprise-enable-zero-touch-enrollment ,Enables the zero-touch enterprise enrollment flow.
--enterprise-enrollment-initial-modulus ,"Power of the power-of-2 initial modulus that will be used by the auto-enrollment client. E.g. ""4"" means the modulus will be 2^4 = 16."
--enterprise-enrollment-modulus-limit ,Power of the power-of-2 maximum modulus that will be used by the auto-enrollment client.
--error-console ,"Allows the ErrorConsole to collect runtime and manifest errors, and display them in the chrome:extensions page."
--evaluate-type ,No description
--evaluate_capability ,No description
--explicitly-allowed-ports ,Allows overriding the list of restricted ports by passing a comma-separated list of port numbers.
--expose-internals-for-testing ,Exposes the window.internals object to JavaScript for interactive development and debugging of web tests that rely on it.
--extension-content-verification ,Name of the command line flag to force content verification to be on in one of various modes.
--extension-process ,Marks a renderer as extension process.
--extension-updater-test-request ,No description
--extensions-install-verification ,Turns on extension install verification if it would not otherwise have been turned on.
--extensions-not-webstore ,Specifies a comma-separated list of extension ids that should be forced to be treated as not from the webstore when doing install verification.
--extensions-on-chrome-urls ,Enables extensions running scripts on chrome:// URLs. Extensions still need to explicitly request access to chrome:// URLs in the manifest.
--external-metrics-collection-interval ,Interval in seconds between Chrome reading external metrics from /var/lib/metrics/uma-events.
--extra-search-query-params ,Additional query params to insert in the search and instant URLs. Useful for testing.
--fail-audio-stream-creation ,Causes the AudioManager to fail creating audio streams. Used when testing various failure cases.
--fake-drivefs-launcher-chroot-path ,"An absolute path to the chroot hosting the DriveFS to use. This is only used when running on Linux, i.e. when IsRunningOnChromeOS() returns false."
--fake-drivefs-launcher-socket-path ,"A relative path to socket to communicat with the fake DriveFS launcher within the chroot specified by kFakeDriveFsLauncherChrootPath. This is only used when running on Linux, i.e. when IsRunningOnChromeOS() returns false."
--fake-oobe-configuration-file ,Path to a OOBE configuration JSON file (used by FakeOobeConfigurationClient).
--fake-variations-channel ,"Fakes the channel of the browser for purposes of Variations filtering. This is to be used for testing only. Possible values are ""stable"", ""beta"", ""dev"" and ""canary"". This works for official builds as well."
--false ,Value indicating whether flag from command line switch is false.
--fast-start ,"If this flag is present then this command line is being delegated to an already running chrome process via the fast path, ie: before chrome.dll is loaded. It is useful to tell the difference for tracking purposes."
--feedback-server ,Alternative feedback server to use when submitting user feedback
--field-trial-handle ,"Handle to the shared memory segment containing field trial state that is to be shared between processes. The argument to this switch is the handle id (pointer on Windows) as a string, followed by a comma, then the size of the shared memory segment as a string."
--file-url-path-alias ,"Define an alias root directory which is replaced with the replacement string in file URLs. The format is ""/alias=/replacement"", which would turn file:///alias/some/path.html into file:///replacement/some/path.html."
--file_chooser ,No description
--first-exec-after-boot ,Passed to Chrome the first time that it's run after the system boots. Not passed on restart after sign out.
--flag-switches-begin ,These two flags are added around the switches about:flags adds to the command line. This is useful to see which switches were added by about:flags on about:version. They don't have any effect.
--flag-switches-end ,No description
--font-cache-shared-handle[1] ,DirectWrite FontCache is shared by browser to renderers using shared memory. This switch allows us to pass the shared memory handle to the renderer.
--font-render-hinting ,"Sets font render hinting when running headless, affects Skia rendering and whether glyph subpixel positioning is enabled. Possible values: none|slight|medium|full|max. Default: full."
--force-android-app-mode ,Forces Android application mode. This hides certain system UI elements and forces the app to be installed if it hasn't been already.
--force-app-mode ,Forces application mode. This hides certain system UI elements and forces the app to be installed if it hasn't been already.
--force-caption-style ,Forces the caption style for WebVTT captions.
--force-cert-verifier-builtin ,"Forces Chrome to use CertVerifyProcBuiltin for verification of server certificates, ignoring the status of net::features::kCertVerifierBuiltinFeature."
--force-color-profile ,"Force all monitors to be treated as though they have the specified color profile. Accepted values are ""srgb"" and ""generic-rgb"" (currently used by Mac layout tests) and ""color-spin-gamma24"" (used by layout tests)."
--force-dark-mode ,Forces dark mode in UI for platforms that support it.
--force-dev-mode-highlighting ,Whether to force developer mode extensions highlighting.
--force-device-scale-factor ,Overrides the device scale factor for the browser UI and the contents.
--force-devtools-available ,"Forces developer tools availability, no matter what values the enterprise policies DeveloperToolsDisabled and DeveloperToolsAvailability are set to."
--force-effective-connection-type ,Forces Network Quality Estimator (NQE) to return a specific effective connection type.
--force-empty-corb-allowlist ,Whether |extensions_features::kBypassCorbAllowlistParamName| should always be empty (i.e. ignoring hardcoded allowlist and the field trial param). This switch is useful for manually verifying if an extension would continue to work fine after removing it from the allowlist.
--force-enable-lite-pages ,Force enable all available previews on every page load.
--force-enable-metrics-reporting ,Forces metrics reporting to be enabled.
--force-enable-night-mode[8] ,Forces the night mode to be enabled.
--force-enable-stylus-tools ,Enables the stylus tools next to the status area.
--force-fieldtrial-params ,"This option can be used to force parameters of field trials when testing changes locally. The argument is a param list of (key, value) pairs prefixed by an associated (trial, group) pair. You specify the param list for multiple (trial, group) pairs with a comma separator. Example: ""Trial1.Group1:k1/v1/k2/v2,Trial2.Group2:k3/v3/k4/v4"" Trial names, groups names, parameter names, and value should all be URL escaped for all non-alphanumeric characters."
--force-fieldtrials ,"This option can be used to force field trials when testing changes locally. The argument is a list of name and value pairs, separated by slashes. If a trial name is prefixed with an asterisk, that trial will start activated. For example, the following argument defines two trials, with the second one activated: ""GoogleNow/Enable/*MaterialDesignNTP/Default/"" This option can also be used by the browser process to send the list of trials to a non-browser process, using the same format. See FieldTrialList::CreateTrialsFromString() in field_trial.h for details."
--force-first-run ,"Displays the First Run experience when the browser is started, regardless of whether or not it's actually the First Run (this overrides kNoFirstRun)."
--force-first-run-ui ,Forces first-run UI to be shown for every login.
--force-gpu-mem-available-mb ,Sets the total amount of memory that may be allocated for GPU resources
--force-gpu-rasterization ,Always use the Skia GPU backend for drawing layer tiles. Only valid with GPU accelerated compositing + impl-side painting. Overrides the kEnableGpuRasterization flag.
--force-happiness-tracking-system ,Force enables the Happiness Tracking System for the device. This ignores user profile check and time limits and shows the notification every time for any type of user. Should be used only for testing.
--force-high-contrast ,"Forces high-contrast mode in native UI drawing, regardless of system settings. Note that this has limited effect on Windows: only Aura colors will be switched to high contrast, not other system colors."
--force-load-easy-unlock-app-in-tests ,Force easy unlock app loading in test. TODO(xiyuan): Remove this when app could be bundled with Chrome.
--force-login-manager-in-tests ,Usually in browser tests the usual login manager bringup is skipped so that tests can change how it's brought up. This flag disables that.
--force-logs-upload-failure ,Force a logs upload failure to help test the logs upload retry.
--force-media-resolution-height ,"When present overrides the screen resolution used by CanDisplayType API, instead of using the values obtained from avsettings."
--force-media-resolution-width ,No description
--force-overlay-fullscreen-video ,Forces use of hardware overlay for fullscreen video playback. Useful for testing the Android overlay fullscreen functionality on other platforms.
--force-pnacl-subzero ,Force use of the Subzero as the PNaCl translator instead of LLC.
--force-prefers-reduced-motion ,"Forces whether the user desires reduced motion, regardless of system settings."
--force-presentation-receiver-for-testing ,This forces pages to be loaded as presentation receivers. Useful for testing behavior specific to presentation receivers. Spec: https://www.w3.org/TR/presentation-api/#interface-presentationreceiver
--force-raster-color-profile ,Force rastering to take place in the specified color profile. Accepted values are the same as for the kForceDisplayColorProfile case above.
--force-recovery-component ,"Force the recovery component, when running an unofficial build. This only applies to the cleaner, not the reporter."
--force-renderer-accessibility ,Force renderer accessibility to be on instead of enabling it on demand when a screen reader is detected. The disable-renderer-accessibility switch overrides this if present.
--force-self-delete ,Force self-deletion even on non-official builds.
--force-show-update-menu-badge[8] ,Forces the update menu badge to show.
--force-stacked-tab-strip-layout ,Forces Chrome to use a stacked tab strip layout.
--force-system-compositor-mode ,Force system compositor mode when set.
--force-tablet-mode ,"Enables required things for the selected UI mode, regardless of whether the Chromebook is currently in the selected UI mode."
--force-tablet-power-button ,"If set, tablet-like power button behavior (i.e. tapping the button turns the screen off) is used even if the device is in laptop mode."
--force-text-direction ,"Force the text rendering to a specific direction. Valid values are ""ltr"" (left-to-right) and ""rtl"" (right-to-left). Only tested meaningfully with RTL."
--force-ui-direction ,"Force the UI to a specific direction. Valid values are ""ltr"" (left-to-right) and ""rtl"" (right-to-left)."
--force-update-menu-type[8] ,Forces the update menu type to a specific type.
--force-use-chrome-camera ,Forces to use chrome camera app when camera icon is clicked.
--force-variation-ids ,"Forces additional Chrome Variation Ids that will be sent in X-Client-Data header, specified as a 64-bit encoded list of numeric experiment ids. Ids prefixed with the character ""t"" will be treated as Trigger Variation Ids."
--force-video-overlays ,Force media player using SurfaceView instead of SurfaceTexture on Android.
--force-wave-audio[1] ,Use Windows WaveOut/In audio API even if Core Audio is supported.
--force-webrtc-ip-handling-policy ,Override WebRTC IP handling policy to mimic the behavior when WebRTC IP handling policy is specified in Preferences.
--full-memory-crash-report ,Generates full memory crash dump.
--gaia-url ,No description
--gamepad-polling-interval ,Overrides the gamepad polling interval. Decreasing the interval improves input latency of buttons and axes but may negatively affect performance due to more CPU time spent in the input polling thread.
--gcm-checkin-url ,Sets the checkin service endpoint that will be used for performing Google Cloud Messaging checkins.
--gcm-mcs-endpoint ,Sets the Mobile Connection Server endpoint that will be used for Google Cloud Messaging.
--gcm-registration-url ,Sets the registration endpoint that will be used for creating new Google Cloud Messaging registrations.
--generate-accessibility-test-expectations ,"For development / testing only. When running content_browsertests, saves output of failing accessibility tests to their expectations files in content/test/data/accessibility/, overwriting existing file content."
--gl ,No description
--gl-null ,No description
--gl-shader-interm-output ,Include ANGLE's intermediate representation (AST) output in shader compilation info logs.
--gles ,No description
--gles-null ,No description
--google-apis-url ,No description
--google-base-url ,Specifies an alternate URL to use for speaking to Google. Useful for testing.
--google-doodle-url ,Overrides the URL used to fetch the current Google Doodle. Example: https://www.google.com/async/ddljson Testing? Try: https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android0.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android1.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android2.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android3.json https://www.gstatic.com/chrome/ntp/doodle_test/ddljson_android4.json
--google-url ,No description
--gpu ,No description
--gpu-blacklist-test-group ,Select a different set of GPU blacklist entries with the specificed test_group ID.
--gpu-driver-bug-list-test-group ,Enable an extra set of GPU driver bug list entries with the specified test_group ID. Note the default test group (group 0) is still active.
--gpu-launcher ,Extra command line options for launching the GPU process (normally used for debugging). Use like renderer-cmd-prefix.
--gpu-no-context-lost ,"Inform Chrome that a GPU context will not be lost in power saving mode, screen saving mode, etc. Note that this flag does not ensure that a GPU context will never be lost in any situations, say, a GPU reset."
--gpu-preferences ,Passes encoded GpuPreferences to GPU process.
--gpu-process ,Flags spied upon from other layers.
--gpu-program-cache-size-kb ,"Sets the maximum size of the in-memory gpu program cache, in kb"
--gpu-rasterization-msaa-sample-count ,The number of multisample antialiasing samples for GPU rasterization. Requires MSAA support on GPU to have an effect. 0 disables MSAA.
--gpu-sandbox-allow-sysv-shm ,Allows shmat() system call in the GPU sandbox.
--gpu-sandbox-failures-fatal ,Makes GPU sandbox failures fatal.
--gpu-sandbox-start-early ,Starts the GPU sandbox before creating a GL context.
--gpu-startup-dialog ,Causes the GPU process to display a dialog on launch.
--gpu2-startup-dialog[1] ,Causes the second GPU process used for gpu info collection to display a dialog on launch.
--graphics-buffer-count ,No description
--guest[17] ,Causes the browser to launch directly in guest mode.
--guest-wallpaper-large ,"Large wallpaper to use in guest mode (as path to trusted, non-user-writable JPEG file)."
--guest-wallpaper-small ,"Small wallpaper to use in guest mode (as path to trusted, non-user-writable JPEG file)."
--h[9] ,No description
--has-chromeos-keyboard ,"If set, the system is a Chromebook with a ""standard Chrome OS keyboard"", which generally means one with a Search key in the standard Caps Lock location above the Left Shift key. It should be unset for Chromebooks with both Search and Caps Lock keys (e.g. stout) and for devices like Chromeboxes that only use external keyboards."
--has-internal-stylus ,Whether this device has an internal stylus.
--headless ,"Run in headless mode, i.e., without a UI or display server dependencies."
--help ,No description
--hide ,"""Hide"" value for kCrosRegionsMode (VPD values are hidden)."
--hide-android-files-in-files-app ,"If true, files in Android internal storage will be hidden in Files app."
--hide-icons[1] ,"Makes Windows happy by allowing it to show ""Enable access to this program"" checkbox in Add/Remove Programs->Set Program Access and Defaults. This only shows an error box because the only way to hide Chrome is by uninstalling it."
--hide-scrollbars ,Hide scrollbars from screenshots.
--homedir ,Defines user homedir. This defaults to primary user homedir.
--homepage ,Specifies which page will be displayed in newly-opened tabs. We need this for testing purposes so that the UI tests don't depend on what comes up for http://google.com.
--host ,No description
--host-resolver-rules ,These mappings only apply to the host resolver.
--ignore-autocomplete-off-autofill ,"Ignores autocomplete=""off"" for Autofill data (profiles + credit cards)."
--ignore-certificate-errors-spki-list ,"A set of public key hashes for which to ignore certificate-related errors. If the certificate chain presented by the server does not validate, and one or more certificates have public key hashes that match a key from this list, the error is ignored. The switch value must a be a comma-separated list of Base64-encoded SHA-256 SPKI Fingerprints (RFC 7469, Section 2.4). This switch has no effect unless --user-data-dir (as defined by the content embedder) is also present."
--ignore-gpu-blacklist ,Ignores GPU blacklist.
--ignore-litepage-redirect-optimization-blacklist ,Ignore the optimization hints blacklist for Lite Page Redirect previews.
--ignore-previews-blacklist ,Ignore decisions made by PreviewsBlackList.
--ignore-urlfetcher-cert-requests ,"Causes net::URLFetchers to ignore requests for SSL client certificates, causing them to attempt an unauthenticated SSL/TLS session. This is intended for use when testing various service URLs (eg: kPromoServerURL, kSbURLPrefix, kSyncServiceURL, etc)."
--ignore-user-profile-mapping-for-tests ,"If true, profile selection in UserManager will always return active user's profile. TODO(nkostlyev): http://crbug.com/364604 - Get rid of this switch after we turn on multi-profile feature on ChromeOS."
--ime[6] ,No description
--in-process-gpu ,Run the GPU process as a thread in the browser process.
--incognito ,Causes the browser to launch directly in incognito mode.
--init-done-notifier ,"The handle of an event to signal when the initialization of the main process is complete (including loading all DLL's). This is used by the integration test to check that forbidden modules aren't loaded outside the sandbox. If this is set, the main process will signal the event and then wait for the integration test to signal it as well before continuing. Ignored in official builds."
--initial-virtual-time ,Start the renderer with an initial virtual time override specified in seconds since the epoch.
--input ,No description
--install-autogenerated-theme ,"Installs an autogenerated theme based on the given RGB value. The format is ""r,g,b"", where r, g, b are a numeric values from 0 to 255."
--install-chrome-app ,Causes Chrome to initiate an installation flow for the given app.
--install-supervised-user-whitelists ,"A list of whitelists to install for a supervised user, for testing. The list is of the following form: <id>[:<name>],[<id>[:<name>],...]"
--instant-process ,Marks a renderer as an Instant process.
--integration-test-timeout-minutes ,Set the timeout for integration tests in minutes. 0 disables the timeout entirely.
--invalidation-use-gcm-channel[6] ,Device invalidation service should use GCM network channel.
--ipc-connection-timeout ,"Overrides the timeout, in seconds, that a child process waits for a connection from the browser before killing itself."
--ipc-dump-directory[19] ,Dumps IPC messages sent from renderer processes to the browser process to the given directory. Used primarily to gather samples for IPC fuzzing.
--ipc-fuzzer-testcase[19] ,Specifies the testcase used by the IPC fuzzer.
--isolate-origins ,"Require dedicated processes for a set of origins, specified as a comma-separated list. For example: --isolate-origins=https://www.foo.com,https://www.bar.com"
--javascript-harmony ,Enables experimental Harmony (ECMAScript 6) features.
--js-flags ,Specifies the flags passed to JS engine
--keep-alive-for-test ,Used for testing - keeps browser alive after last browser window closes.
--kernelnext-restrict-vms ,"If set, the Chrome settings will not expose the option to enable crostini unless the enable-experimental-kernel-vm-support flag is set in chrome://flags"
--kiosk ,Enable kiosk mode. Please note this is not Chrome OS kiosk mode.
--kiosk-printing ,Enable automatically pressing the print button in print preview.
--lang ,The language file that we want to try to open. Of the form language[-country] where language is the 2 letter code from ISO-639.
--last-launched-app ,"Pass the app id information to the renderer process, to be used for logging. last-launched-app should be the app that just launched and is spawning the renderer."
--layer ,No description
--light ,No description
--litepage-server-previews-host ,Override the Lite Page Preview Host.
--litepage-server-subresource-host ,Overrides the Lite Page Subresource host.
--litepage_redirect_overrides_page_hints ,Sets the trigger ordering of Lite Page Redirect to be higher than page hints.
--load-and-launch-app ,Loads an app from the specified directory and launches it.
--load-apps ,Comma-separated list of paths to apps to load at startup. The first app in the list will be launched.
--load-empty-dll ,Attempt to load empty-dll.dll whenever this flag is set. For testing DLL loading.
--load-extension ,Comma-separated list of paths to extensions to load at startup.
--load-media-router-component-extension ,Loads the Media Router component extension on startup.
--local-sync-backend-dir ,Specifies the local sync backend directory. The name is chosen to mimic user-data-dir etc. This flag only matters if the enable-local-sync-backend flag is present.
--log-best-effort-tasks ,Logs information about all tasks posted with TaskPriority::BEST_EFFORT. Use this to diagnose issues that are thought to be caused by TaskPriority::BEST_EFFORT execution fences. Note: Tasks posted to a non-BEST_EFFORT UpdateableSequencedTaskRunner whose priority is later lowered to BEST_EFFORT are not logged.
--log-file ,Overrides the default file name to use for general-purpose logging (does not affect which events are logged).
--log-gpu-control-list-decisions ,Logs GPU control list decisions when enforcing blacklist rules.
--log-interface-calls-to ,Specifies a file to log all the interface calls of EngineRequestsImpl and CleanerEngineRequestsImpl.
--log-level ,"Sets the minimum log level. Valid values are from 0 to 3: INFO = 0, WARNING = 1, LOG_ERROR = 2, LOG_FATAL = 3."
--log-net-log ,"Enables saving net log events to a file. If a value is given, it used as the path the the file, otherwise the file is named netlog.json and placed in the user data directory."
--login-manager ,Enables Chrome-as-a-login-manager behavior.
--login-profile ,Specifies the profile to use once a chromeos user is logged in. This parameter is ignored if user goes through login screen since user_id hash defines which profile directory to use. In case of browser restart within active session this parameter is used to pass user_id hash for primary user.
--login-user ,Specifies the user which is already logged in.
--logs-upload-retry-interval ,"Specify the time to wait between logs upload retries, in minutes."
--low-pressure-touch-filtering[12] ,"Tells Chrome to do filter out low pressure touches, as from a pencil. Should only be used if the driver level filtering is insufficient."
--lso-url ,No description
--ltr ,No description
--main-frame-resizes-are-orientation-changes ,Resizes of the main frame are caused by changing between landscape and portrait mode (i.e. Android) so the page should be rescaled to fit.
--make-chrome-default[7] ,Indicates whether Chrome should be set as the default browser during installation.
--make-default-browser ,Makes Chrome default browser
--managed-user-id ,Sets the supervised user ID for any loaded or newly created profile to the given value. Pass an empty string to mark the profile as non-supervised. Used for testing.
--mangle-localized-strings ,"Transform localized strings to be longer, with beginning and end markers to make truncation visually apparent."
--manual ,No description
--market-url-for-testing[8] ,Sets the market URL for Chrome for use in testing.
--max-active-webgl-contexts ,Allows user to override maximum number of active WebGL contexts per renderer process.
--max-decoded-image-size-mb ,Sets the maximium decoded image size limitation.
--max-file-size ,Limit the size of files the scanning engine is allowed to open.
--max-gum-fps ,Override the maximum framerate as can be specified in calls to getUserMedia. This flag expects a value. Example: --max-gum-fps=17.5
--max-output-volume-dba1m ,"Calibrated max output volume dBa for voice content at 1 meter, if known."
--max-untiled-layer-height ,Sets the width and height above which a composited layer will get tiled.
--max-untiled-layer-width ,No description
--mem-pressure-system-reserved-kb ,"Some platforms typically have very little 'free' memory, but plenty is available in buffers+cached. For such platforms, configure this amount as the portion of buffers+cached memory that should be treated as unavailable. If this switch is not used, a simple pressure heuristic based purely on free memory will be used."
--memlog ,No description
--memlog-sampling-rate ,No description
--memlog-stack-mode ,No description
--memory-pressure-off ,No description
--message-loop-type-ui ,Indicates the utility process should run with a message loop type of UI.
--metrics-client-id[7] ,"This is how the metrics client ID is passed from the browser process to its children. With Crashpad, the metrics client ID is distinct from the crash client ID."
--metrics-recording-only ,"Enables the recording of metrics reports but disables reporting. In contrast to kDisableMetrics, this executes all the code that a normal client would use for reporting, except the report is dropped rather than sent to the server. This is useful for finding issues in the metrics code during UI and performance tests."
--metrics-upload-interval ,Override the standard time interval between each metrics report upload for UMA and UKM. It is useful to set to a short interval for debugging. Unit in seconds. (The default is 1800 seconds on desktop).
--minimal ,No description
--mirror[2] ,Values for the kAccountConsistency flag.
--mixed ,No description
--mixer-service-endpoint ,"Endpoint that the mixer service listens on. On Linux/Android, this is a path for a UNIX domain socket (default is /tmp/mixer-service). On other platforms, this is a TCP port to listen on (on localhost) (default 12854)."
--mixer-source-audio-ready-threshold-ms ,"Specify the start threshold frames for audio output when using our mixer. This is mostly used to override the default value to a larger value, for platforms that can't handle the default start threshold without running into audio underruns."
--mixer-source-input-queue-ms ,"Specify the buffer size for audio output when using our mixer. This is mostly used to override the default value to a larger value, for platforms that can't handle an audio buffer so small without running into audio underruns."
--mock ,No description
--mock-cert-verifier-default-result-for-testing ,Set the default result for MockCertVerifier. This only works in test code.
--mojo-local-storage ,Use a Mojo-based LocalStorage implementation.
--mojo-pipe-token ,No description
--monitoring-destination-id ,Allows setting a different destination ID for connection-monitoring GCM messages. Useful when running against a non-prod management server.
--mse-audio-buffer-size-limit-mb ,Allows explicitly specifying MSE audio/video buffer sizes as megabytes. Default values are 150M for video and 12M for audio.
--mse-video-buffer-size-limit-mb ,No description
--mute-audio ,Mutes audio sent to the audio device so it is not audible during automated testing.
--nacl-broker ,Value for --type that causes the process to run as a NativeClient broker (used for launching NaCl loader processes on 64-bit Windows).
--nacl-dangerous-no-sandbox-nonsfi ,Disable sandbox even for non SFI mode. This is particularly unsafe as non SFI NaCl heavily relies on the seccomp sandbox.
--nacl-debug-mask ,"Uses NaCl manifest URL to choose whether NaCl program will be debugged by debug stub. Switch value format: [!]pattern1,pattern2,...,patternN. Each pattern uses the same syntax as patterns in Chrome extension manifest. The only difference is that * scheme matches all schemes instead of matching only http and https. If the value doesn't start with !, a program will be debugged if manifest URL matches any pattern. If the value starts with !, a program will be debugged if manifest URL does not match any pattern."
--nacl-gdb ,Native Client GDB debugger that will be launched automatically when needed.
--nacl-gdb-script ,GDB script to pass to the nacl-gdb debugger at startup.
--nacl-loader ,No description
--nacl-loader-nonsfi ,Value for --type that causes the process to run as a NativeClient loader for non SFI mode.
--native ,No description
--native-messaging-connect-extension ,Requests a native messaging connection be established between the extension with ID specified by this switch and the native messaging host named by the kNativeMessagingConnectHost switch.
--native-messaging-connect-host ,Requests a native messaging connection be established between the native messaging host named by this switch and the extension with ID specified by kNativeMessagingConnectExtension.
--native-with-thread-names ,No description
--need-arc-migration-policy-check ,"If present, the device needs to check the policy to see if the migration to ext4 for ARC is allowed. It should be present only on devices that have been initially issued with ecrypfs encryption and have ARC (N+) available. For the devices in other categories this flag must be missing."
--net-log-capture-mode ,"Sets the granularity of events to capture in the network log. The mode can be set to one of the following values: ""Default"" ""IncludeSensitive"" ""Everything"" See the enums of the corresponding name in net_log_capture_mode.h for a description of their meanings."
--netifs-to-ignore ,List of network interfaces to ignore. Ignored interfaces will not be used for network connectivity.
--network ,No description
--network-country-iso[8] ,The telephony region (ISO country code) to use in phone number detection.
--network-quiet-timeout ,"Sets the timeout seconds of the network-quiet timers in IdlenessDetector. Used by embedders who want to change the timeout time in order to run web contents on various embedded devices and changeable network bandwidths in different regions. For example, it's useful when using FirstMeaningfulPaint signal to dismiss a splash screen."
--new-net-error-page-ui ,Enables new UI for net-error page.
--new-window ,Launches URL in new browser window.
--no-crash-upload ,Prevent the crash client from uploading crash reports.
--no-default-browser-check ,Disables the default browser check. Useful for UI/browser tests where we want to avoid having the default browser info-bar displayed.
--no-experiments ,"Disables all experiments set on about:flags. Does not disable about:flags itself. Useful if an experiment makes chrome crash at startup: One can start chrome with --no-experiments, disable the problematic lab at about:flags and then restart chrome without this switch again."
--no-first-run ,"Skip First Run tasks, whether or not it's actually the First Run. Overridden by kForceFirstRun. This does not drop the First Run sentinel and thus doesn't prevent first run from occuring the next time chrome is launched without this flag."
--no-managed-user-acknowledgment-check ,Disables checking whether we received an acknowledgment when registering a supervised user. Also disables the timeout during registration that waits for the ack. Useful when debugging against a server that does not support notifications.
--no-network-profile-warning[1] ,Whether or not the browser should warn if the profile is on a network share. This flag is only relevant for Windows currently.
--no-pings ,Don't send hyperlink auditing pings
--no-proxy-server ,"Don't use a proxy server, always make direct connections. Overrides any other proxy server flags that are passed."
--no-recovery-component ,Prevent downloading and running the recovery component.
--no-referrers ,Don't send HTTP-Referer headers.
--no-report-upload ,Prevent the logging service from uploading logs and reports. WARNING: this switch is used by internal test systems. Be careful when making changes.
--no-sandbox ,Disables the sandbox for all process types that are normally sandboxed.
--no-sandbox-and-elevated[1] ,Disables the sandbox and gives the process elevated privileges.
--no-self-delete ,Prevent the executable from deleting itself after running.
--no-service-autorun ,"Disables the service process from adding itself as an autorun process. This does not delete existing autorun registrations, it just prevents the service from registering a new one."
--no-startup-window ,Does not automatically open a browser window on startup (used when launching Chrome for the purpose of hosting background apps).
--no-user-gesture-required ,Autoplay policy that does not require any user gesture.
--no-v8-untrusted-code-mitigations ,Disables V8 mitigations for executing untrusted code.
--no-wifi ,Disable features that require WiFi management.
--no-zygote ,"Disables the use of a zygote process for forking child processes. Instead, child processes will be forked and exec'd directly. Note that --no-sandbox should also be used together with this flag because the sandbox needs the zygote to work."
--noerrdialogs ,Suppresses all error dialogs when present.
--none ,"Must be in sync with ""sandbox_type"" values as used in service manager's manifest.json catalog files."
--none_and_elevated ,No description
--note-taking-app-ids ,"An optional comma-separated list of IDs of apps that can be used to take notes. If unset, a hardcoded list is used instead."
--notification-inline-reply[1] ,Used in combination with kNotificationLaunchId to specify the inline reply entered in the toast in the Windows Action Center.
--notification-launch-id[1] ,Used for launching Chrome when a toast displayed in the Windows Action Center has been activated. Should contain the launch ID encoded by Chrome.
--ntp-snippets-add-incomplete ,"If this flag is set, we will add downloaded snippets that are missing some critical data to the list."
--null ,No description
--num-raster-threads ,Number of worker threads used to rasterize content.
--oauth-account-manager-url ,No description
--oauth2-client-id ,No description
--oauth2-client-secret ,No description
--off ,No description
--on ,No description
--on-the-fly-mhtml-hash-computation ,Calculate the hash of an MHTML file as it is being saved. The browser process will write the serialized MHTML contents to a file and calculate its hash as it is streamed back from the renderer via a Mojo data pipe.
--oobe-force-show-screen ,Forces OOBE/login to force show a comma-separated list of screens from chromeos::kScreenNames in oobe_screen.cc. Supported screens are: user-image
--oobe-guest-session ,Indicates that a guest session has been started before OOBE completion.
--oobe-skip-postlogin ,Skips all other OOBE pages after user login.
--oobe-skip-to-login ,Skip to login screen.
--oobe-timer-interval ,Interval at which we check for total time on OOBE.
--opengraph ,No description
